fofId,x,y,z,np
63020800000001,329.4029541015625,85.25139617919922,48.33033752441406,500335
63013200000001,306.5511474609375,354.2859191894531,7.110762119293213,500695
63021100000003,316.8648986816406,122.78620910644531,73.1295166015625,504441
63035900000000,289.2222900390625,305.7768859863281,277.37762451171875,502669
63022300000000,335.5709228515625,245.4122772216797,91.35059356689453,506360
63023600000001,305.01263427734375,32.31075668334961,241.67791748046875,508897
63041300000000,130.23532104492188,256.09954833984375,371.8072814941406,509235
63003100000001,243.79104614257812,149.5675811767578,10.076873779296875,513853
63003400000001,167.5942840576172,142.4449920654297,108.59270477294922,525434
63006900000000,27.76630401611328,339.6788024902344,45.440181732177734,516250
63012200000001,183.6704864501953,259.1355895996094,52.182891845703125,511218
63012900000001,284.0110168457031,254.0614471435547,65.99183654785156,511480
63021900000001,368.5635986328125,211.96224975585938,9.10519027709961,511088
63035700000000,324.2293395996094,317.61883544921875,358.96435546875,528483
63003100000000,202.7513427734375,127.92481994628906,65.23358917236328,542930
63003700000000,191.24488830566406,210.6887969970703,51.09796142578125,550453
63004100000001,226.5649871826172,173.12939453125,233.587158203125,550412
63005500000001,52.24673843383789,190.5868377685547,134.8651580810547,532323
63009600000001,130.87303161621094,276.0782470703125,153.3944549560547,534582
63012600000001,285.81982421875,278.5807800292969,40.404815673828125,558562
63013000000001,297.24591064453125,345.4705505371094,62.20988845825195,539809
63015200000001,290.93841552734375,295.31219482421875,180.21009826660156,533876
63016000000001,396.5549621582031,308.74462890625,156.7830352783203,555563
63021700000000,283.4341735839844,173.78912353515625,25.915281295776367,538214
63023800000000,289.6996154785156,8.548141479492188,140.47842407226562,545103
63023800000001,261.1848449707031,72.02874755859375,161.41053771972656,544343
63042600000000,98.74118041992188,385.5243835449219,256.2179260253906,534822
63050200000000,38.85393142700195,52.05658721923828,253.05841064453125,539135
63000000000000,7.159158706665039,11.840031623840332,6.843667984008789,588418
63000400000000,87.84044647216797,95.0136947631836,79.83650207519531,590434
63000600000001,26.149431228637695,65.40227508544922,99.70936584472656,586485
